Key,en,kr
Q01,"I usually believe that I can control the events that happen in my life.","나는 보통 내 삶에서 일어나는 일들을 스스로 통제할 수 있다고 믿는다."
Q02,"I find it comfortable and enjoyable to talk to strangers.","나는 처음 만나는 낯선 사람과 대화하는 것이 편안하고 즐겁다."
Q03,"Sometimes my life feels like a series of random coincidences that I cannot control.","가끔 내 삶은 내가 통제할 수 없는 무작위적인 우연의 연속인 것 같다."
Q04,"I tend to deeply empathize with others' emotions and easily feel sadness.","나는 타인의 감정에 깊이 공감하고 슬픔을 잘 느끼는 편이다."
Q05,"Manipulating others cleverly to get what I want is a smart and natural thing to do.","원하는 것을 얻기 위해 다른 사람을 교묘하게 조종하는 것은 영리하고 자연스러운 일이다."
Q06,"I must take quick and harsh revenge on those who have harmed me.","나에게 해를 끼친 사람에게는 빠르고 가혹하게 복수해야 한다."
Q07,"I have felt a strange interest or pleasure when seeing others suffer or in trouble.","다른 사람이 고통받거나 곤란해하는 모습을 볼 때 묘한 흥미나 즐거움을 느낀 적이 있다."
Q08,"I tend to feel less guilty than others, regardless of the consequences of my actions.","나는 내 행동의 결과가 어떻게 되든 남들보다 죄책감을 덜 느끼는 편이다."
Q09,"Sometimes I feel that my movements are automatic, as if my body is moving on its own.","가끔 내 움직임이 자동적이며, 내 몸이 스스로 움직이는 것 같다고 느낄 때가 있다."
Q10,"I am the complete author of my actions right now.","나는 지금 내 행동의 온전한 주체이다."
Q11,"While I am acting, there are times when I feel like a remote-controlled robot.","내가 행동하고 있는 동안, 마치 내가 원격 조종되는 로봇처럼 느껴질 때가 있다."
Q12,"I feel like someone is controlling me.","나를 누군가가 조종하고 있는 느낌이다."
Q13,"I know who is controlling me.","나를 조종하는 게 누구인지 알고 있다."
Q14,"Who could be controlling me?","나를 조종하는 게 누구일까?"
